CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,971.873967,3.23957989,48.027542957157706,14.826053337058259,20.23464998943037,308.698976133
1,614400,1992.375842,3.242799222005208,76.69481845137449,11.548891019969057,25.97652012485644,150.582415516
1,864000,2800.728189,3.241583552083333,95.10553805246704,10.18792083948398,29.4466363379395,107.12226699
1,1017600,3294.639621,3.2376568602594338,109.33450443673192,9.956441983452592,30.13124573001018,91.064042726
1,1305600,4236.270952,3.2446928247549023,142.74810549015947,10.109720196430004,29.674411771152435,70.82209716
1,1420800,4601.36814,3.2385755489864865,155.85498157877205,10.162329892407877,29.520789344196103,65.203754089
1,1612800,5231.949773,3.2440164763144845,188.43869011031134,10.806159707080333,27.761943940494994,57.345758988
1,1804800,5846.585594,3.2394645356826244,229.07277783634788,11.7553309451851,25.5203363817569,51.317013991
4,300000,1566.072603,5.220242010000001,94.86177687380282,18.17342527351314,16.507620081792453,191.577955552
4,652800,3409.16839,5.2223780484068625,145.52719900322754,12.808214954573208,23.422467616604465,88.012516164
4,902400,4708.615196,5.217880314716312,192.78632813482858,12.285825804648624,24.4183830025075,63.727681955
4,1056000,5512.071436,5.219764617424243,227.1877867764604,12.368587419674965,24.254992896180195,54.44213175
4,1401600,7312.61426,5.217333233447489,331.97880342362953,13.624560532684272,22.01905883718767,41.040453162
4,1536000,8019.031836,5.2207238515625,381.22630703529245,14.267401067771424,21.026954984651606,37.425017121
4,1612800,8416.799933,5.218749958457342,410.37284496567133,14.632786890939517,20.501904540532685,35.657298163
4,1804800,9421.518749,5.220256399046987,492.2542218529599,15.68147341014902,19.130855382877517,31.856452853
4,2016000,10524.469391,5.220470928075397,598.2205892653392,17.060667061986894,17.584306575469967,28.519023531
